#{"t_start": 1747757839.2502089, "env_id": "None"}
r,l,t
-1.1,2,36.793261
-1.0,3,36.888713
-1.0,1,36.912023
-1.1,2,36.985601
-1.2,3,37.065384
-1.2,3,37.151319
-1.0,1,37.188287
-1.0,5,37.312095
-1.0,1,37.344675
-1.0,3,37.426915
-1.2,3,37.512246
-1.0,1,37.539168
-1.1,2,37.597681
-0.9,2,37.650936
-1.0,1,37.683102
-1.0,1,37.713536
-1.1,2,37.786087
-0.9,2,37.846264
-1.0,1,37.873516
-1.0,5,38.02563
-1.0,1,38.045499
-1.1,2,38.101391
-1.0,1,38.132576
-1.0,1,38.154841
-1.0,1,38.191628
-1.0,1,38.214931
-1.0,3,38.300151
-1.1,2,38.345679
-0.9,2,38.418942
-1.0,1,38.455605
0.9,2,38.514719
-1.0,3,38.596245
-1.0,1,38.637939
-1.1,2,38.715749
-1.0,1,38.750175
-1.0,1,38.791943
-1.1,2,38.84542
-1.1,6,38.990941
-0.9,4,39.085369
-1.0,1,39.112259
-0.9,4,39.225189
-1.2,5,39.365126
-1.2,3,39.497711
-1.0,1,39.522576
-1.0,3,39.608605
-1.0,1,39.631448
-1.0,1,39.662464
-1.0,1,39.694285
-1.0,1,39.718084
-1.0,3,39.822843
-0.9,2,39.873463
-1.0,1,39.894213
-1.1,2,39.938306
-1.0,1,39.967205
-1.0,1,39.998544
-1.0,1,40.024024
-1.0,1,40.058786
-1.0,1,40.102172
-1.1,4,40.223089
-1.0,3,40.297973
-1.0,1,40.332944
-1.0,1,40.366571
-1.0,1,40.391878
-1.0,1,40.413159
-1.0,1,40.448078
-1.0,1,40.466941
-1.0,1,40.491828
-0.9,2,40.547585
-0.8,7,40.731491
-1.0,1,40.756199
-1.1,2,40.816412
-0.9,4,40.913638
-1.0,1,40.942475
-1.0,1,40.975144
-1.0,1,40.996015
-1.0,1,41.016823
-1.1,2,41.077335
-0.9,2,41.126487
-1.0,1,41.153247
-1.0,1,41.186754
-0.9,2,41.238856
-1.0,1,41.266224
-0.9,2,41.318583
-1.0,3,41.398703
-1.0,3,41.491606
-1.0,1,41.518184
-1.0,1,41.552498
-1.0,1,41.591686
-1.2,3,41.681889
-1.0,1,41.70829
-0.9,2,41.780559
-1.0,1,41.820252
-1.1,4,41.922613
-0.9,2,41.969643
-0.9,4,42.058919
-1.0,1,42.104593
-1.0,1,42.122068
-1.0,1,42.158552
-0.8,3,42.236463
-0.9,2,42.283095
-0.8,3,42.382131
-1.0,1,42.415152
-1.0,1,42.441017
-1.0,1,42.462816
-1.0,1,42.487267
-0.9,2,42.542964
-1.0,1,42.573909
-1.1,2,42.620303
