#{"t_start": 1747755752.6343083, "env_id": "None"}
r,l,t
-1.0,1,19.955818
-1.0,1,19.974526
-1.0,1,19.990897
-1.0,1,20.008634
-1.1,2,20.045592
-1.0,3,20.096513
-1.0,1,20.116125
-1.0,1,20.134742
-1.0,1,20.15485
-1.0,1,20.173595
-1.0,3,20.218678
-1.3,4,20.274335
-1.0,1,20.295497
-1.0,5,20.355487
-1.0,5,20.42912
-1.1,2,20.465436
-1.0,1,20.488587
-1.0,1,20.505753
-1.0,1,20.524341
-1.0,1,20.546496
-0.9,2,20.58034
-1.1,2,20.610398
-1.0,1,20.625538
-1.0,1,20.646533
-1.0,1,20.665464
-1.0,1,20.687626
-1.0,1,20.705701
-1.0,1,20.730733
-1.0,3,20.769575
-1.0,1,20.789965
-1.0,1,20.809619
-1.0,1,20.824704
-1.0,1,20.844044
-1.0,1,20.866185
-1.0,1,20.886989
-1.1,2,20.91887
-1.0,3,20.954678
-1.0,1,20.97544
-1.0,1,20.990791
-1.0,1,21.009174
-1.1,4,21.071713
-1.0,1,21.094748
-1.0,1,21.115019
-1.0,3,21.161584
-1.1,2,21.190865
-1.0,1,21.209528
-0.9,2,21.233398
-1.0,1,21.249521
-0.9,2,21.279719
-1.2,3,21.326359
-0.9,2,21.35614
-1.1,4,21.405059
-1.1,2,21.434606
-1.0,1,21.455792
-1.0,1,21.476004
-1.4,5,21.540923
-1.1,2,21.570004
-1.0,1,21.590196
-1.0,1,21.60529
-1.0,1,21.620401
-1.0,1,21.645892
-1.0,1,21.659827
-1.0,1,21.67995
-1.1,2,21.708206
-1.0,1,21.731071
-1.0,1,21.750872
-1.0,5,21.825676
-0.9,2,21.855554
-1.0,1,21.880041
-1.0,3,21.925378
-1.0,1,21.945617
-1.1,2,21.981193
-1.0,1,21.999962
-1.0,1,22.019109
-1.0,1,22.034301
-1.0,1,22.051466
-0.9,4,22.100486
-0.9,2,22.134351
-0.9,2,22.164237
-1.0,1,22.190638
-1.0,1,22.21066
-1.1,2,22.24644
-1.2,7,22.333992
-1.1,2,22.364969
-1.0,1,22.389829
-1.0,1,22.411214
-1.0,1,22.430107
-0.9,2,22.45844
-1.2,3,22.504914
-1.0,1,22.52508
-1.1,2,22.559468
-1.0,1,22.57509
-1.0,1,22.59626
-1.0,1,22.615005
-1.0,3,22.660054
-1.0,1,22.676499
-1.0,5,22.745278
-1.0,1,22.764478
-1.0,1,22.785097
-1.2,3,22.829814
-1.0,1,22.851764
-1.3,4,22.913152
-1.0,1,22.929369
-0.9,2,22.960725
-1.0,3,23.00533
-0.9,2,23.040559
-1.1,2,23.069198
-1.1,2,23.10797
-0.9,2,23.134294
-0.8,3,23.182916
-1.0,1,23.204294
-1.0,1,23.224999
-1.0,1,23.245972
-1.0,1,23.27063
-1.0,1,23.293084
-1.0,1,23.313616
-1.1,2,23.340634
-1.1,2,23.371954
-1.0,1,23.391671
-0.9,2,23.427306
-0.9,2,23.45673
-1.0,1,23.475396
-1.0,1,23.500334
-1.0,1,23.521418
-1.0,1,23.54062
-1.0,1,23.560669
-1.1,4,23.614813
-1.0,1,23.631974
-1.0,1,23.651119
-1.1,2,23.685256
-1.0,1,23.705625
-1.1,2,23.734053
-1.0,1,23.74927
-1.0,1,23.773097
1.0,1,23.792371
-1.0,1,23.809722
-1.1,2,23.839075
-1.0,1,23.862376
-1.0,1,23.881246
-1.0,3,23.936769
-1.0,1,23.954543
-1.0,1,23.976131
-1.0,1,23.995824
-1.0,1,24.014939
-1.0,1,24.0337
-0.8,5,24.104691
-0.9,2,24.135869
-0.9,2,24.172815
-0.8,3,24.218739
-1.2,3,24.265151
-0.9,2,24.309212
-1.0,3,24.357038
-1.0,1,24.381251
-1.0,1,24.415589
-1.1,4,24.477331
-1.0,1,24.498522
0.9,2,24.541969
-1.0,1,24.560214
-1.1,2,24.594546
-0.9,2,24.628319
-1.1,4,24.694963
-1.1,4,24.760497
-1.0,1,24.785461
-1.0,1,24.805372
-1.0,3,24.861372
-1.0,1,24.881573
-1.1,2,24.919202
-1.0,1,24.946464
-1.1,4,25.007171
-1.0,1,25.030867
-1.0,1,25.055042
-1.0,3,25.100572
-1.1,2,25.146072
-1.1,2,25.188779
-1.0,1,25.213062
-1.1,2,25.249855
-0.9,2,25.285216
-1.0,1,25.306698
-0.8,3,25.357178
-1.0,1,25.375817
-1.0,1,25.399024
-1.0,1,25.418317
-1.0,1,25.439515
-1.0,1,25.468229
-1.0,1,25.490676
-1.0,1,25.514359
-1.0,1,25.539612
-1.1,2,25.571362
-1.0,1,25.592762
-1.0,1,25.612432
-0.9,4,25.676578
-1.0,1,25.692842
-1.1,2,25.721593
-1.1,4,25.783119
-1.0,3,25.841702
-1.0,1,25.860455
-1.0,1,25.880614
-0.8,3,25.93219
-1.0,1,25.950834
-1.0,1,25.97402
-0.9,2,26.01086
-0.8,5,26.076193
-1.0,1,26.10649
-1.0,1,26.127186
-1.1,2,26.162521
-1.1,2,26.19889
-1.0,1,26.218562
-1.1,2,26.252441
-1.0,1,26.271101
-1.1,4,26.335285
-1.1,2,26.381775
-1.1,2,26.426777
-1.0,1,26.450581
-1.0,3,26.501543
-0.9,4,26.566777
-1.0,1,26.583421
-0.8,3,26.636447
-1.2,3,26.690151
-1.0,1,26.711323
-0.9,2,26.745763
-0.9,2,26.781648
-1.0,1,26.802449
-0.8,5,26.88668
-1.0,1,26.911048
-1.0,1,26.931702
-1.0,3,26.981968
-1.0,1,27.006708
-1.0,1,27.030384
-1.0,3,27.08011
-1.0,1,27.101835
-1.0,1,27.126085
-1.1,4,27.19062
-1.1,2,27.226663
-0.9,2,27.256644
-1.1,2,27.284384
-1.0,1,27.305082
-1.0,1,27.325042
-1.0,1,27.343917
-1.0,1,27.36533
-1.1,2,27.400368
-1.0,1,27.420388
-1.0,1,27.440551
-1.0,1,27.461294
-1.0,1,27.481705
-1.0,3,27.524452
-0.9,2,27.54941
-1.0,1,27.571588
-0.9,2,27.603567
-1.0,1,27.630285
-1.0,1,27.650164
-1.1,2,27.686571
-1.3,4,27.735351
-1.0,1,27.75555
-1.0,1,27.768847
-1.1,2,27.799714
-1.0,1,27.81493
-0.9,2,27.844851
-1.0,3,27.886032
-1.0,1,27.90576
-0.9,6,27.97824
-0.9,2,28.004464
-1.0,1,28.02006
-1.0,1,28.039587
-1.0,3,28.086947
-1.0,1,28.104678
-1.0,1,28.123105
-1.0,1,28.14104
