#{"t_start": 1747756559.9349813, "env_id": "None"}
r,l,t
-1.1,4,22.22175
-1.0,3,22.258458
-1.0,1,22.278744
-1.0,1,22.297884
1.1,2,22.328827
-1.0,1,22.347288
-1.0,1,22.366719
-1.0,1,22.381403
-1.1,2,22.412626
-1.3,6,22.481614
-1.0,1,22.502995
-0.8,3,22.546524
-0.9,2,22.578683
-1.0,3,22.628788
-0.9,2,22.657923
-1.0,1,22.678155
-1.0,1,22.695934
-1.1,2,22.728251
-1.0,3,22.773129
-1.0,5,22.832815
-1.0,1,22.853381
-1.0,1,22.872289
-0.8,3,22.906684
-1.0,1,22.933084
-1.0,1,22.948187
-1.0,1,22.967316
-1.1,2,22.997073
-1.0,1,23.010661
-1.0,1,23.027741
-1.0,1,23.047094
-0.9,2,23.078196
-0.9,2,23.106461
-0.9,2,23.131464
-1.1,2,23.155692
-1.0,1,23.173452
-1.0,3,23.213454
-1.0,1,23.231946
-1.0,1,23.253285
-1.0,1,23.27299
-1.2,3,23.317222
-1.0,1,23.337191
-0.9,2,23.362418
-1.0,1,23.387475
-1.0,1,23.405255
-1.0,1,23.423934
-1.0,1,23.44188
-1.0,3,23.478691
-1.2,3,23.520234
-1.0,3,23.557361
-1.0,1,23.573925
-1.0,1,23.592109
-1.0,1,23.610413
-1.0,1,23.62957
-1.0,1,23.647896
-1.0,1,23.671994
-1.0,1,23.690263
-1.1,4,23.746642
-1.1,2,23.777922
-1.0,1,23.797245
-1.0,1,23.816875
-1.0,1,23.831291
-1.0,1,23.852471
-1.0,1,23.868152
-1.2,3,23.906831
-1.0,1,23.927513
-1.0,1,23.950681
-1.0,1,23.966254
-1.0,3,24.008867
-1.1,2,24.042183
-1.0,1,24.061268
-1.4,13,24.211667
-0.9,4,24.26499
-1.2,5,24.327791
-0.9,2,24.355064
-0.9,2,24.386842
-1.0,1,24.412401
-1.0,3,24.452748
-1.1,2,24.483321
-1.0,3,24.528926
-1.0,1,24.548632
-0.8,5,24.618842
-1.1,2,24.653349
-1.0,1,24.668591
-1.0,1,24.696971
-1.2,3,24.75688
-1.2,3,24.809223
-0.8,3,24.863567
-0.7,4,24.929131
-1.0,1,24.948329
-1.0,1,24.966601
-1.0,1,24.992865
-1.0,1,25.012877
-1.1,2,25.037748
-0.9,2,25.071291
-1.2,5,25.137892
-1.0,1,25.157516
-1.0,1,25.178835
-1.0,3,25.228934
-0.9,2,25.261578
-1.0,1,25.278379
-1.0,1,25.295162
-1.1,2,25.327065
-0.9,2,25.362632
-1.0,1,25.387402
-1.1,2,25.418684
-1.0,1,25.440838
-1.1,2,25.468296
-1.1,2,25.497684
-1.0,1,25.525467
-0.8,3,25.578245
