#{"t_start": 1747756765.8528306, "env_id": "None"}
r,l,t
-1.0,1,28.61485
-1.0,3,28.663017
-0.9,2,28.689111
-1.2,3,28.734352
1.0,1,28.754655
-0.9,2,28.784297
-1.0,1,28.806711
-1.0,1,28.825024
-0.9,2,28.861513
-1.1,2,28.893933
-1.1,2,28.927093
-1.0,1,28.944012
-1.1,2,28.984951
-1.4,5,29.054848
-1.0,1,29.075637
-1.0,1,29.093843
-0.9,4,29.143482
-1.0,1,29.163686
-1.0,1,29.179017
-1.2,3,29.219275
-1.0,1,29.233075
-1.0,1,29.254663
-0.9,8,29.369259
-1.0,3,29.414706
-1.0,1,29.435295
-1.0,1,29.456931
-1.0,1,29.47907
-1.2,3,29.513436
-0.9,2,29.538648
-1.0,1,29.570474
-1.0,1,29.588697
-1.0,1,29.606292
-0.7,6,29.684683
-1.1,2,29.719052
-0.9,2,29.751691
-1.0,1,29.769248
-1.1,2,29.800286
-1.0,1,29.819945
-1.0,1,29.8378
-1.0,1,29.854789
-1.0,1,29.874027
-1.0,1,29.899724
-1.0,1,29.912944
-1.3,4,29.968431
-1.0,1,29.984057
-1.0,1,30.012982
-1.0,1,30.032521
-0.9,2,30.067119
-0.9,2,30.099407
-1.1,2,30.135928
-1.0,1,30.150074
-1.0,1,30.168722
-0.9,2,30.199547
-1.0,1,30.21936
-0.9,2,30.248677
-1.1,2,30.279756
-1.0,1,30.304704
-1.0,1,30.319443
-1.0,1,30.339662
-1.0,1,30.359912
-1.0,1,30.385701
-1.0,1,30.40445
-1.1,2,30.436661
-1.0,1,30.454971
-1.0,1,30.473795
-1.0,1,30.493414
-1.1,4,30.548652
-1.0,1,30.564486
-1.0,1,30.579048
-1.0,1,30.599352
-1.1,2,30.629077
-1.0,1,30.642834
-1.1,2,30.673662
-1.0,1,30.688766
-0.9,2,30.719905
-0.8,3,30.76903
-1.2,3,30.807199
-1.0,1,30.824878
-1.1,4,30.879671
-1.0,1,30.89964
-1.0,1,30.919914
-1.0,1,30.938857
-1.1,2,30.965069
-0.8,3,31.004549
-1.0,1,31.020769
-1.0,1,31.040436
-1.0,1,31.058133
-1.0,1,31.079503
-1.1,2,31.116125
-1.0,1,31.141077
-0.9,2,31.168088
1.0,1,31.190191
-1.0,1,31.208441
-1.1,2,31.244265
-1.0,1,31.260884
-1.1,2,31.288873
-0.9,2,31.321782
-1.2,3,31.35951
-1.2,3,31.400471
-1.2,5,31.468414
-1.0,1,31.493082
-1.0,1,31.509164
-0.9,2,31.538075
