#{"t_start": 1748427807.0659666, "env_id": "None"}
r,l,t
-1.0,1,17.143189
-1.0,1,17.164258
-1.0,3,17.209214
-1.0,1,17.228634
-0.9,2,17.259671
-1.0,1,17.27916
-1.0,1,17.298617
-1.0,1,17.319252
-1.0,1,17.344042
-1.1,2,17.374552
-1.0,1,17.392806
-1.0,1,17.417971
-1.1,2,17.449204
-1.0,1,17.468502
-1.0,1,17.489488
-1.0,1,17.508289
-1.0,1,17.528809
-1.0,1,17.549074
-1.0,1,17.568517
-1.0,1,17.58364
-1.1,6,17.669096
-1.2,3,17.707758
-1.0,1,17.727835
-1.0,1,17.749855
-1.0,3,17.799595
-1.0,1,17.819849
-1.0,1,17.841289
-1.0,1,17.859821
-0.9,2,17.889875
-1.0,1,17.910632
-1.1,4,17.964006
-0.9,2,18.004043
-0.8,3,18.052292
-1.0,1,18.069148
-1.0,1,18.088968
-1.0,1,18.108567
-1.0,1,18.127858
-1.0,1,18.14953
-0.9,2,18.179169
-0.9,2,18.214776
-1.0,1,18.233674
-1.2,5,18.303498
-1.2,3,18.3542
-1.1,2,18.389868
-0.9,2,18.420472
-0.9,2,18.453104
-0.8,3,18.487718
1.0,1,18.509786
-1.0,1,18.529282
-1.0,1,18.553054
-1.0,1,18.575469
-1.0,1,18.598815
-1.1,2,18.638521
-1.0,3,18.684144
-1.0,1,18.703843
-1.0,1,18.723612
-1.1,2,18.763987
-1.1,2,18.799189
-1.0,5,18.8601
-1.2,3,18.904465
-1.0,5,18.968688
-1.0,1,18.98881
-0.9,2,19.023329
-1.0,1,19.044386
-0.9,2,19.079971
-0.9,2,19.127196
-1.0,1,19.144634
-1.2,3,19.194602
-1.0,1,19.216228
-1.0,1,19.240858
-1.0,1,19.264116
-1.0,1,19.291229
-1.1,6,19.369514
-1.0,1,19.396029
-1.0,1,19.41983
-1.0,1,19.460878
-1.0,1,19.485176
-0.9,2,19.519101
-1.0,1,19.541365
-1.0,1,19.564177
-0.9,2,19.608452
-0.8,3,19.669832
-1.0,1,19.691075
-0.9,2,19.728179
-1.1,2,19.763939
-1.1,2,19.80103
-1.0,3,19.846851
-1.1,2,19.881739
-1.0,1,19.904994
-1.0,1,19.927223
-1.0,1,19.946482
-1.1,2,19.999815
-0.9,2,20.04096
-1.1,2,20.070713
-1.1,4,20.128719
-1.1,2,20.16937
-1.0,1,20.196207
-0.9,2,20.230699
-0.8,3,20.284887
-1.0,1,20.30895
-1.1,6,20.408748
-1.0,1,20.431246
-0.9,2,20.469744
-1.1,2,20.504778
-1.0,1,20.530856
-1.0,1,20.553782
-1.0,1,20.575544
-1.0,1,20.599062
-0.9,2,20.63415
-1.0,3,20.684556
-0.9,2,20.726607
-0.7,4,20.794902
-1.0,1,20.820523
-1.0,1,20.84329
-1.0,1,20.869549
-0.9,2,20.903446
-1.0,1,20.919695
-0.9,2,20.949017
-1.0,1,20.969726
-1.0,1,20.988374
-1.1,2,21.018847
-1.1,2,21.04795
-1.2,5,21.123228
-0.9,2,21.153669
-1.0,1,21.167565
-1.0,3,21.209697
-0.9,2,21.242226
-1.1,6,21.325607
-0.9,4,21.37897
-0.8,3,21.422242
-0.9,2,21.460301
-1.0,1,21.479275
-1.0,1,21.498945
-1.0,1,21.519805
-1.1,6,21.588698
-1.0,5,21.661652
-1.0,1,21.679742
-0.9,6,21.757876
-1.0,1,21.778677
-1.0,1,21.799653
-1.0,1,21.817725
-0.9,2,21.850085
-1.0,1,21.873631
-1.1,2,21.903573
-0.9,2,21.938875
-1.3,4,21.989053
-1.1,2,22.018875
